1200;2;cup;1;75
1202;1;cup;1;250
1202;2;fl oz;1;31,2
1202;3;quart;1;1000
1203;1;container (6 oz);1;170
1203;2;cup (8 fl oz);1;245
1203;3;container (8 oz);1;227
1204;1;cup;1;100
1204;2;tbsp;1;5
1204;3;oz;1;28,35
1205;1;tbsp;1;15
1206;1;tsp;4;12
1208;1;cup, diced;1;132
1208;2;oz;1;28,35
1208;3;cup, shredded;1;113
1208;4;cubic inch;1;14,3
1208;5;slice (1 oz);1;28
1208;6;package (6 oz);1;170
1209;1;oz;1;28,35
1209;2;cup;0,25;28
1211;1;cup;1;244
1211;2;tbsp;1;15
1211;3;fl oz;1;30,5
1211;4;quart;1;976
1212;1;cup;1;128
1212;2;cup;0,25;32
1215;1;slice 3/4 oz;1;21
1215;2;slice 2/3 oz;1;19
1216;1;container (6 oz);1;170
1216;2;container (4.4 oz);1;125
1216;3;container (5 oz);1;142
1216;4;cup (8 fl oz);1;245
1216;5;container (8 oz);1;227
1216;6;container (4 oz);0,5;113
1217;1;container (6 oz);1;170
1217;2;cup (8 fl oz);1;245
1217;3;container (8 oz);1;227
1217;5;container, Dannon Sprinkl'ins (4.1 oz);1;116
1217;6;container (4 oz);0,5;113
1218;1;container (6 oz);1;170
1218;2;container (4.4 oz);1;125
1218;3;cup (8 fl oz);1;245
1218;4;container (8 oz);1;227
1219;1;container (6 oz);1;170
1219;2;cup (8 fl oz);1;245
1219;3;container (8 oz);1;227
1220;1;container (6 oz);1;170
1220;2;container (8 oz);1;227
1220;3;container (4 oz);0,5;113
1220;4;cup (8 fl oz);1;245
1221;1;container (6 oz);1;170
1222;1;container (6 oz);1;170
1223;1;tbsp;1;11
1224;1;scoop;2;50
1225;1;tbsp;1;19
1226;1;cup;0,25;60
1226;2;cup;1;240
1227;1;cup grated;1;97
1228;1;cup, crumbled;1;122
1229;1;cup, crumbled;1;118
1230;1;cup;1;245
1231;1;container;1;170
1235;1;cup;0,5;68
1236;1;cup;0,5;86
1237;1;bar;1;50
1238;1;serving;1;70
1239;1;serving;1;82
1240;1;unit;1;96
1241;1;serving;1;70
1242;1;serving;1;70
1243;1;cup;0,5;68
1244;1;bar;1;68
1250;1;can;1;227
1251;1;cup shredded;0,25;28
1252;1;slice (2/3 oz);1;19
1252;2;slice (3/4 oz);1;21
1253;1;oz;1;28,35
1253;2;slice (3/4 oz);1;21
1253;3;slice (1 oz);1;28
1253;4;cubic inch;1;18
1253;5;cup, diced;1;140
1253;6;cup, shredded;1;113
1253;7;cup, melted;1;244
1254;1;cup;1;113
1254;2;oz;1;28,35
1254;3;slice (3/4 oz);1;21
1254;4;package (8 oz);1;227
1255;1;oz;1;28
1256;1;container;1;170
1258;1;cup, sifted;1;107
1258;2;tbsp;1;7
1259;1;piece;1;21
1259;2;package;1;566
1260;1;slice;1;21
1263;1;medium;1;298
1264;1;pieces;26;95
1265;1;serving;1;28
1266;1;serving;1;28
1267;1;tsp;2;5
1270;1;slice (2/3 oz);1;19
1270;2;slice (3/4 oz);1;21
1270;3;slice (1 oz);1;28
1271;1;cup;1;86
1275;1;oz;5,3;150
1276;1;oz;5,3;150
1278;1;oz;5,3;150
1280;1;oz;5,3;150
1284;1;container (5.3 oz);1;150
1284;2;cup (8 fl oz);1;245
1284;3;container (6 oz);1;170
1284;4;container (8 oz);1;227
1284;5;container, Dannon Sprinkl'ins (4.1 oz);1;116
1284;6;container (4 oz);0;113
1285;1;container (5.3 oz);1;150
1286;1;container (5.3 oz);1;150
1287;1;container (7 oz);1;200
1289;1;cup;1;243
1289;2;bottle;1;971
1290;1;cup;1;247
1290;2;bottle;1;989
1291;1;cup;1;252
1291;2;fl oz;1;31,5
1291;3;can (13 oz);1;369
1291;4;cup;0,5;126
1292;1;cup;1;250
1292;2;fl oz;1;31,2
1292;3;quart;1;1000
1295;1;cup (8 fl oz);1;245
1295;2;container (8 oz);1;227
1295;3;container (4 oz);0,5;113
2001;1;tsp;1;1,9
2001;2;tbsp;1;6
2002;1;tsp, whole;1;2,1
2002;2;tbsp, whole;1;6,7
2003;1;tsp, leaves;1;0,7
2003;2;tbsp, leaves;1;2,1
2003;3;tsp, ground;1;1,4
2003;4;tbsp, ground;1;4,5
2004;1;tsp, crumbled;1;0,6
2004;2;tbsp, crumbled;1;1,8
2005;1;tsp;1;2,1
2005;2;tbsp;1;6,7
2006;1;tsp, ground;1;2
2006;2;tbsp, ground;1;5,8
2007;1;tsp;1;2
2007;2;tbsp;1;6,5
2008;1;tsp;1;0,6
2008;2;tbsp;1;1,9
2009;1;tsp;1;2,7
2009;2;tbsp;1;8
2010;1;tsp;1;2,6
2010;2;tbsp;1;7,8
2011;1;tsp;1;2,1
2011;2;tbsp;1;6,5
2012;1;tsp;1;0,6
2012;2;tbsp;1;1,8
2013;1;tsp;1;1,8
2013;2;tbsp;1;5
2014;1;tsp, whole;1;2,1
2014;2;tbsp, whole;1;6
2015;1;tsp;1;2
2015;2;tbsp;1;6,3
2016;1;tsp;1;2,1
2016;2;tbsp;1;6,6
2017;1;tsp;1;1
2017;2;tbsp;1;3,1
2018;1;tsp, whole;1;2
2018;2;tbsp, whole;1;5,8
2019;1;tsp;1;3,7
2019;2;tbsp;1;11,1
2020;1;tsp;1;3,1
2020;2;tbsp;1;9,7
2021;1;tsp;1;1,8
2021;2;tbsp;1;5,2
2022;1;tsp;1;1,7
2022;2;tbsp;1;5,3
2023;1;tsp;1;0,6
2023;2;tbsp;1;1,7
2024;1;tsp;1;2
2024;2;tbsp;1;6,3
2025;1;tsp;1;2,2
2025;2;tbsp;1;7
2026;1;tsp;1;2,4
2026;2;tbsp;1;6,9
2027;1;tsp, leaves;1;1
2027;2;tsp, ground;1;1,8
2028;1;tsp;1;2,3
2028;2;tbsp;1;6,8
2029;1;tsp;1;0,5
2029;2;tbsp;1;1,6
2030;1;tsp, ground;1;2,3
2030;2;tbsp, ground;1;6,9
2030;3;tsp, whole;1;2,9
2030;4;dash;1;0,1
2031;1;tsp;1;1,8
2031;2;tbsp;1;5,3
2032;1;tsp, ground;1;2,4
2032;2;tbsp, ground;1;7,1
2033;1;tsp;1;2,8
2033;2;tbsp;1;8,8
2034;1;tsp;1;1,5
2034;2;tbsp;1;4,4
2035;1;tsp;1;1,7
2035;2;tbsp;1;5,6
2036;1;tsp;1;1,2
2036;2;tbsp;1;3,3
2037;1;tsp;1;0,7
2037;2;tbsp;1;2,1
2038;1;tsp;1;0,7
2038;2;tbsp;1;2
2039;1;tsp;1;1,4
2039;2;tbsp;1;4,4
2041;1;tsp, leaves;1;0,6
2041;2;tbsp, leaves;1;1,8
2041;3;tsp, ground;1;1,6
2041;4;tbsp, ground;1;4,8
2042;1;tsp, leaves;1;1
2042;2;tbsp, leaves;1;2,7
2042;3;tsp, ground;1;1,4
2042;4;tbsp, ground;1;4,3
2043;1;tsp;1;3
2043;2;tbsp;1;9,4
2044;1;leaves;5;2,5
2044;2;tbsp, chopped;2;5,3
2044;3;cup leaves, whole;0,25;6
2045;1;sprigs;5;1
2045;2;cup sprigs;1;8,9
2046;1;tsp or 1 packet;1;5
2046;2;cup;1;249
2047;1;tsp;1;6
2047;2;tbsp;1;18
2047;3;cup;1;292
2047;4;dash;1;0,4
2048;1;tbsp;1;14,9
2048;2;cup;1;239
2048;3;tsp;1;5
2049;1;tsp;1;0,8
2049;2;tsp;0,5;0,4
2050;1;tsp;1;4,2
2050;2;tbsp;1;13
2050;3;cup;1;208
2051;1;tsp;1;4,2
2051;2;tbsp;1;13
2052;1;tsp;1;4,2
2052;2;tbsp;1;13
2053;1;tbsp;1;14,9
2053;2;cup;1;238
2053;3;tsp;1;5
2054;1;tbsp, drained;1;8,6
2055;1;tsp;1;5
2055;2;tbsp;1;15
2063;1;tsp;1;0,7
2063;2;tbsp;1;1,7
2064;1;leaves;2;0,1
